workflow,pilot_n,pilot_source,eval_n,effect_parameter,true_omega2,power,pool_size_per_group,scenario_index
gene,10,real,40,"pi=0.625,scale=1",0.026975109791931715,0.54,180,1
gene,10,real,40,"pi=0.688,scale=1",0.06569442591391127,0.88,180,2
gene,10,real,40,"pi=0.719,scale=1",0.09686322961624884,0.98,180,3
gene,10,real,40,"pi=0.775,scale=1",0.14367006903767812,1.0,180,4
gene,10,real,40,"pi=0.812,scale=1",0.17188972194635033,1.0,180,5
gene,10,real,40,"pi=0.844,scale=1",0.20356226868334287,1.0,180,6
gene,10,real,40,"pi=0.85,scale=1.23",0.23651952893499742,1.0,180,7
gene,10,real,40,"pi=0.925,scale=1",0.287910751908449,1.0,180,8
gene,10,real,40,"pi=0.925,scale=1.23",0.3158993608406792,1.0,180,9
gene,10,real,40,"pi=0.969,scale=1",0.3804074719703158,1.0,180,10
gene,10,real,40,"pi=1,scale=1",0.41529350498235323,1.0,180,11
gene,10,real,40,"pi=1,scale=1.7",0.45628871190519554,1.0,180,12
gene,10,real,50,"pi=0.5,scale=1",0.004809989164921865,0.19,180,0
gene,10,real,50,"pi=0.625,scale=1",0.026975109791931715,0.53,180,1
gene,10,real,50,"pi=0.688,scale=1",0.06569442591391127,0.89,180,2
gene,10,real,50,"pi=0.719,scale=1",0.09686322961624884,1.0,180,3
gene,10,real,50,"pi=0.775,scale=1",0.14367006903767812,1.0,180,4
gene,10,real,50,"pi=0.812,scale=1",0.17188972194635033,1.0,180,5
gene,10,real,50,"pi=0.844,scale=1",0.20356226868334287,1.0,180,6
gene,10,real,50,"pi=0.85,scale=1.23",0.23651952893499742,1.0,180,7
gene,10,real,50,"pi=0.925,scale=1",0.287910751908449,1.0,180,8
gene,10,real,50,"pi=0.925,scale=1.23",0.3158993608406792,1.0,180,9
gene,10,real,50,"pi=0.969,scale=1",0.3804074719703158,1.0,180,10
gene,10,real,50,"pi=1,scale=1",0.41529350498235323,1.0,180,11
gene,10,real,50,"pi=1,scale=1.7",0.45628871190519554,1.0,180,12
gene,10,real,60,"pi=0.5,scale=1",0.004809989164921865,0.18,180,0
gene,10,real,60,"pi=0.625,scale=1",0.026975109791931715,0.66,180,1
gene,10,real,60,"pi=0.688,scale=1",0.06569442591391127,0.93,180,2
gene,10,real,60,"pi=0.719,scale=1",0.09686322961624884,1.0,180,3
gene,10,real,60,"pi=0.775,scale=1",0.14367006903767812,1.0,180,4
gene,10,real,60,"pi=0.812,scale=1",0.17188972194635033,1.0,180,5
gene,10,real,60,"pi=0.844,scale=1",0.20356226868334287,1.0,180,6
gene,10,real,60,"pi=0.85,scale=1.23",0.23651952893499742,1.0,180,7
gene,10,real,60,"pi=0.925,scale=1",0.287910751908449,1.0,180,8
gene,10,real,60,"pi=0.925,scale=1.23",0.3158993608406792,1.0,180,9
